n_agents,num_drones,num_dogs,max_hops,kill_fraction,Budget_m,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Victims_pct,Area_km2,Path_length_km,Likelihood,TD_Score,Time_first_victim,Efficiency_ratio,Latency,Elapsed_s,Algorithm,Seed
5,3,2,1.0,0.0,100000.0,0.16572331183361855,0.42472329049286167,0.13885088919288646,38.0,7.702118669298625,505.799969469403,0.08662436157464981,0.0023978100450560563,9.0,0.8611491108071135,1947.7382870468518,1.4,Swarm_3D2P,42
5,5,0,,0.0,100000.0,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.0,Pizza,42
5,5,0,,0.0,100000.0,,,,63.0,15.342962793406707,499.9999999999997,0.15188206559143436,0.002094607279677363,,,,4.2,Greedy,42
5,3,2,1.0,0.0,100000.0,0.1658110657715765,0.42524623259516386,0.13908189998860918,41.0,7.698018410027256,505.79283594888415,0.08661116659641266,0.0023962691008004126,13.0,0.8609181000113908,1946.713695583095,1.4,Swarm_3D2P,123
5,5,0,,0.0,100000.0,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.1,Pizza,123
5,5,0,,0.0,100000.0,,,,57.99999999999999,14.052789979258199,499.99999999999983,0.1491412587496662,0.002024292034965206,,,,4.2,Greedy,123
5,3,2,1.0,0.0,100000.0,0.16596463516300294,0.42544149987459234,0.13828454265861714,35.0,7.702855173695249,505.81603018932344,0.08675967901945114,0.0023962691008004126,0.0,0.8617154573413829,1945.6356318186633,1.4,Swarm_3D2P,456
5,5,0,,0.0,100000.0,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.0,Pizza,456
5,5,0,,0.0,100000.0,,,,45.0,12.574008944452839,500.00000000000074,0.10728235320298835,0.001924852280531485,,,,4.4,Greedy,456
5,3,2,1.0,0.0,100000.0,0.16603045061647143,0.4256296875927712,0.13813916410431615,38.0,7.704337715973017,505.8024198450923,0.08685500919818878,0.0023977381788562913,3.0,0.8618608358956839,1945.6991844084314,1.4,Swarm_3D2P,789
5,5,0,,0.0,100000.0,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.1,Pizza,789
5,5,0,,0.0,100000.0,,,,60.5,13.994592680282706,499.9999999999999,0.144898314900225,0.0019362287682651435,,,,4.6,Greedy,789
5,3,2,1.0,0.0,100000.0,0.16572331183361855,0.42474234632773356,0.13894904821611764,39.5,7.698489446718648,505.8297356051576,0.08662635833024979,0.0023978100450560563,6.0,0.8610509517838824,1947.8845909283596,1.5,Swarm_3D2P,2025
5,5,0,,0.0,100000.0,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.0,Pizza,2025
5,5,0,,0.0,100000.0,,,,56.99999999999999,13.10427518082968,499.9999999999998,0.13501117151980327,0.0013650674981496827,,,,4.6,Greedy,2025
5,3,2,1.0,0.2,100000.0,0.16888245360010531,0.4408136955782895,0.15397296406198482,40.0,7.950330394536115,489.64302945340836,0.09024238586425781,0.0023968679192610644,9.0,0.8460270359380152,1909.0532580810673,1.4,Swarm_3D2P,42
5,5,0,,0.2,100000.0,,,,80.5,27.92850417674853,428.6358657051619,0.1647269018235138,0.0013200669949545963,,,,0.0,Pizza,42
5,5,0,,0.2,100000.0,,,,33.0,9.156061415274982,430.00000000000074,0.08919991666892912,0.001298663701003716,,,,4.8,Greedy,42
5,3,2,1.0,0.2,100000.0,0.16907989996051073,0.4412923624973963,0.15372790161414296,41.5,7.956530749035098,489.5316284530759,0.09024245291948318,0.0023968679192610644,13.0,0.846272098385857,1905.8385972108285,1.5,Swarm_3D2P,123
5,5,0,,0.2,100000.0,,,,76.5,27.92850417674853,428.6358657051619,0.1647269018235138,0.0013200669949545963,,,,0.1,Pizza,123
5,5,0,,0.2,100000.0,,,,60.5,12.827549826267814,430.0000000000001,0.13445673618842,0.0019315303566837419,,,,4.8,Greedy,123
5,3,2,1.0,0.2,100000.0,0.16844368391031547,0.4404557366585123,0.15765222161272627,37.5,7.913107234901589,489.79491746776995,0.0901198461651802,0.0023968679192610644,0.0,0.8423477783872737,1911.3354164532323,1.5,Swarm_3D2P,456
5,5,0,,0.2,100000.0,,,,76.0,27.92850417674853,428.6358657051619,0.1647269018235138,0.0013200669949545963,,,,0.0,Pizza,456
5,5,0,,0.2,100000.0,,,,28.499999999999996,9.467871772019693,430.0000000000001,0.0824221211362384,0.0018803095532045572,,,,4.7,Greedy,456
5,3,2,1.0,0.2,100000.0,0.1686630687552104,0.4410554205149454,0.15609220636663007,38.5,7.92122979412478,489.6334139541712,0.09029129147529602,0.0023968679192610644,3.0,0.8439077936333699,1907.711810539266,1.5,Swarm_3D2P,789
5,5,0,,0.2,100000.0,,,,75.0,27.92850417674853,428.6358657051619,0.1647269018235138,0.0013200669949545963,,,,0.0,Pizza,789
5,5,0,,0.2,100000.0,,,,44.5,11.144884586465428,430.000000000001,0.10722614794207949,0.002038695358904612,,,,4.8,Greedy,789
5,3,2,1.0,0.2,100000.0,0.1689263305690843,0.44082864534958927,0.15403208086134915,40.5,7.949524753559271,489.67279558916204,0.09024673700332642,0.0023968679192610644,6.0,0.8459679191386509,1908.6438904278239,1.5,Swarm_3D2P,2025
5,5,0,,0.2,100000.0,,,,79.5,27.92850417674853,428.6358657051619,0.1647269018235138,0.0013200669949545963,,,,0.0,Pizza,2025
5,5,0,,0.2,100000.0,,,,43.5,9.929182512242125,430.00000000000034,0.1043286585864452,0.002010969444316217,,,,4.7,Greedy,2025
5,3,2,1.0,0.4,100000.0,0.16721512877890396,0.4389712456684865,0.15461401952085183,39.0,7.902860644425347,474.3865653058878,0.09005747735500336,0.0023968679192610644,9.0,0.8453859804791481,1921.2577607615895,1.5,Swarm_3D2P,42
5,5,0,,0.4,100000.0,,,,66.0,23.358654863605373,358.8579340787375,0.13530730397886598,0.0013200669949545972,,,,0.0,Pizza,42
5,5,0,,0.4,100000.0,,,,44.0,9.744693091006987,360.00000000000057,0.09303925544099699,0.0020401530677672634,,,,4.7,Greedy,42
5,3,2,1.0,0.4,100000.0,0.16743451362379888,0.4394639696957396,0.15425531914893617,41.5,7.908189498251377,474.27516430555266,0.09006020426750183,0.0023968679192610644,13.0,0.8457446808510638,1917.9080661840744,1.5,Swarm_3D2P,123
5,5,0,,0.4,100000.0,,,,62.0,23.358654863605373,358.8579340787375,0.13530730397886598,0.0013200669949545972,,,,0.0,Pizza,123
5,5,0,,0.4,100000.0,,,,51.0,11.449183434392431,360.0000000000003,0.12461378625393808,0.0020136631928556322,,,,4.8,Greedy,123
5,3,2,1.0,0.4,100000.0,0.16679829757360362,0.4385965569549203,0.15821523472099203,37.0,7.864801244427104,474.538453320248,0.08993132412433624,0.0023968679192610644,0.0,0.8417847652790079,1923.372455832214,1.6,Swarm_3D2P,456
5,5,0,,0.4,100000.0,,,,64.5,23.358654863605373,358.8579340787375,0.13530730397886598,0.0013200669949545972,,,,0.1,Pizza,456
5,5,0,,0.4,100000.0,,,,34.0,9.12983141449905,359.99999999999983,0.09383707292311881,0.0013654113836857715,,,,4.8,Greedy,456
5,3,2,1.0,0.4,100000.0,0.16703962090298802,0.43924471462583925,0.15653040877367896,38.5,7.8738307436638975,474.3769498066493,0.09011264145374298,0.0023968679192610644,3.0,0.843469591226321,1919.885350976946,1.5,Swarm_3D2P,789
5,5,0,,0.4,100000.0,,,,63.0,23.358654863605373,358.8579340787375,0.13530730397886598,0.0013200669949545972,,,,0.0,Pizza,789
5,5,0,,0.4,100000.0,,,,46.5,11.562134099132342,359.99999999999915,0.11721935520746346,0.0019368425203656547,,,,4.8,Greedy,789
5,3,2,1.0,0.4,100000.0,0.1672809442323724,0.43901829398222403,0.15456259008759285,40.0,7.902125703109897,474.4163314416401,0.09006810188293457,0.0023968679192610644,6.0,0.8454374099124071,1920.8424374094766,1.5,Swarm_3D2P,2025
5,5,0,,0.4,100000.0,,,,65.5,23.358654863605373,358.8579340787375,0.13530730397886598,0.0013200669949545972,,,,0.0,Pizza,2025
5,5,0,,0.4,100000.0,,,,38.0,8.549903964118004,360.0,0.07797630697360917,0.0020481460251377598,,,,4.8,Greedy,2025
5,3,2,1.0,0.6,100000.0,0.1637927251985433,0.4355499027144284,0.15600271309066244,39.0,7.775479898370352,456.1190222079913,0.08942504227161407,0.0023968679192610644,9.0,0.8439972869093375,1964.3499052032862,1.5,Swarm_3D2P,42
5,5,0,,0.6,100000.0,,,,52.5,18.78880555046172,289.0800024523155,0.11271590101713831,0.0013200669949545972,,,,0.0,Pizza,42
5,5,0,,0.6,100000.0,,,,25.5,7.012499526992542,290.0000000000002,0.061959693108979225,0.001989277684057684,,,,4.8,Greedy,42
5,3,2,1.0,0.6,100000.0,0.16390241762099075,0.4353675210947309,0.15562839059674502,41.5,7.7782294028076535,456.0096819674716,0.08940750360488892,0.0023968679192610644,13.0,0.844371609403255,1962.3363875724065,1.5,Swarm_3D2P,123
5,5,0,,0.6,100000.0,,,,47.0,18.78880555046172,289.0800024523155,0.11271590101713831,0.0013200669949545972,,,,0.0,Pizza,123
5,5,0,,0.6,100000.0,,,,28.999999999999996,7.807395851932266,289.9999999999998,0.07190404142719879,0.001984161248727307,,,,4.9,Greedy,123
5,3,2,1.0,0.6,100000.0,0.16339783247773243,0.4353996735219559,0.15908321101953257,37.0,7.739062703847826,456.26020307573856,0.08942188322544098,0.0023968679192610644,0.0,0.8409167889804674,1967.5719095213046,1.5,Swarm_3D2P,456
5,5,0,,0.6,100000.0,,,,52.0,18.78880555046172,289.0800024523155,0.11271590101713831,0.0013200669949545972,,,,0.0,Pizza,456
5,5,0,,0.6,100000.0,,,,28.499999999999996,7.999680935376884,289.9999999999996,0.0766387400705406,0.0016372594362784028,,,,4.9,Greedy,456
5,3,2,1.0,0.6,100000.0,0.16355140186915887,0.43553410748571136,0.15772229126652357,38.5,7.744540859678757,456.1221746151794,0.08943980932235718,0.0023968679192610644,3.0,0.8422777087334764,1963.8176650173702,1.5,Swarm_3D2P,789
5,5,0,,0.6,100000.0,,,,48.5,18.78880555046172,289.0800024523155,0.11271590101713831,0.0013200669949545972,,,,0.0,Pizza,789
5,5,0,,0.6,100000.0,,,,39.5,8.145442137286151,290.00000000000034,0.09034825006338693,0.001962855375463378,,,,4.9,Greedy,789
5,3,2,1.0,0.6,100000.0,0.16381466368303277,0.43554482693414154,0.15598507968802985,40.0,7.774207824393277,456.1487883437436,0.08942504227161407,0.0023968679192610644,6.0,0.8440149203119701,1964.0282283547504,1.4,Swarm_3D2P,2025
5,5,0,,0.6,100000.0,,,,49.0,18.78880555046172,289.0800024523155,0.11271590101713831,0.0013200669949545972,,,,0.0,Pizza,2025
5,5,0,,0.6,100000.0,,,,27.500000000000004,7.569375284342437,290.00000000000034,0.07240758597319505,0.00171892538087075,,,,4.8,Greedy,2025
